Company, Found Date, City, Nation, Industry, Founder, Investor, Total Founding, Company Type, Operating Status, Last Valuation
ZX Ventures, 2016, New York, United States, —, Jeltsin Neckebroek, —, , Y, Y, 
ZX Airports, 2016, Shunyi, China, Homeland Security, —, Transinfo Group, N¥3000000, Y, Y, 
Zwölf Media House, 2019, New Delhi, India, Fashion, —, —, , Y, Y, 
ZWZTech, 2016, Beijing, China, Hardware, —, Bingqiang Gao, , Y, Y, 
Zwuggeli, 2017, Riehen, Switzerland, Consumer Goods, Yvonne Casuli, —, , Y, Y, 
Zwopr, 2018, München, Germany, Communities, Bernhard Koller, —, , Y, Y, 
Zwoop, 2016, Houston, United States, Artificial Intelligence, Tommaso Natale, Robert Martin Friedland, 13000000, Y, N, 
ZWOOKY, 2014, Uerikon, Switzerland, Digital Media, —, —, , Y, Y, 
Zwoice, 2018, —, —, E-Commerce, —, —, , Y, Y, 
ZWM (Zero Waste Movement), 2020, Stockholm, Sweden, Consumer Electronics, David Malmqvist, —, , Y, Y, 
ZWIZ.AI, 2017, Bangkok, Thailand, Analytics, Chanakarn (Art) Chinchatchawal, —, , Y, Y, 
Zwivel, 2014, Paramus, United States, Cosmetic Surgery, Craig Abramowitz, —, 5950001, Y, Y, 
ZwitterCo, 2018, Cambridge, United States, Environmental Consulting, Alex Rappaport, National Science Foundation, 40375000, Y, Y, 
Zwishy, 2018, Bangalore, India, Communities, Priya Belliappa, —, , Y, Y, 
Zwirner Equipment, 2013, Hartsville, United States, Industrial Manufacturing, Eric Zwirner, —, , Y, Y, 
Zwiren Title Agency, 2013, Livingston, United States, Commercial, —, —, , Y, Y, 
Zwinny AB, 2014, Nacka, Sweden, Information Technology, —, —, , Y, Y, 
Zwinggi Creative, 2014, Cleveland, United States, Brand Marketing, —, —, , Y, Y, 
Zwing, 2017, Gurgaon, India, Billing, Abhishek Verma, —, , Y, Y, 
zwilio, 2013, New York, United States, Advertising, —, —, , Y, Y, 
ZwiftPay, 2015, Boston, United States, Artificial Intelligence, Melvin Torres, —, , Y, N, 
Zwift, 2014, Long Beach, United States, Cycling, Alarik Myrin, True., 619500000, Y, Y, 1000000000
2019, Health Care, Medical, —, —, $5, , Y, —
Zwerner Law, 2017, —, —, Law Enforcement, —, —, , Y, Y, 
Zwerit, 2013, Neu Sankt Johann, Switzerland, A/B Testing, —, —, , Y, Y, 
Zwenkwielen.net, 2013, Doornspijk, The Netherlands, E-Commerce, —, —, , Y, Y, 
Zwende, 2016, Kilpauk, India, E-Commerce, Innu Nevatia, —, , Y, Y, 
ZwemSokjes, 2018, Helmond, The Netherlands, Consumer Goods, —, —, , Y, Y, 
Zwemparadijzen, 2014, Maastricht, The Netherlands, Flash Sale, Emiel Wielinga, —, , Non-profit, Y, 
Zwemmershop, 2015, Capelle Aan Den Ijssel, The Netherlands, E-Commerce, —, —, , Y, Y, 
Zwemeiland.nl, 2018, Rosmalen, The Netherlands, Consumer Goods, —, —, , Y, Y, 
Zwembadshop.com, 2017, Nijmegen, The Netherlands, Consumer Goods, —, —, , Y, Y, 
Zwembadselect, 2016, Huizen, The Netherlands, Leisure, —, —, , Y, Y, 
Zwembadrecreatie, 2019, Helmond, The Netherlands, E-Commerce, —, —, , Y, Y, 
Zweli's, 2018, Durham, United States, Catering, —, —, , Y, Y, 
Zweitbuch, 2014, Vienna, Austria, Communities, —, —, , Y, Y, 
Zweispace, 2016, Sunnyvale, United States, Architecture, Hayato Kameta, —, , Y, Y, 
Zweig Schwartzman Prosthodontics, 2018, Beverly Hills, United States, Dental, —, —, , Y, Y, 
zweifreunde.digital, 2014, München, Germany, Advertising, —, —, , Y, Y, 
ZweiDigital, 2018, Frankfurt, Germany, Advertising, —, —, , Y, Y, 
Zweidevs, 2020, —, —, Blockchain, —, —, , Y, Y, 
ZWEI Wealth, 2014, Zürich, Switzerland, Financial Services, —, —, , Y, Y, 
Zwei Grosse, 2013, Aalborg, Denmark, Food and Beverage, —, —, , Y, Y, 
Zweezle, 2014, Bangalore City, India, Advertising, Praveen Gunashekaran, —, , Y, Y, 
Zweet Ik Veel, 2013, Uden, The Netherlands, Beauty, —, —, , Y, Y, 
Zweers.io, 2019, Elst, The Netherlands, Cloud Computing, —, —, , Y, Y, 
Zweedseklokken, 2018, Zeewolde, The Netherlands, E-Commerce, —, —, , Y, Y, 
Zweedeo, 2016, Singapore, Singapore, Advertising, Praveen Gunasekaran, —, , Y, N, 
Zweat.in, 2017, Mumbai, India, E-Commerce, Raghav Perumall, —, , Y, Y, 
2014, Internet of Things, Wearables, —, —, —, or Profit, Y, —
ZWconnect, 2021, Zoetermeer, The Netherlands, Education, —, —, , Y, Y, 
ZWC Partners, 2015, Central, Hong Kong, Financial Services, Patrick Cheung, —, , Y, Y, 
Zwayo "On-Demand Valet Parking", 2014, Cambridge, United States, Apps, Haoliang Chen, —, 60000, Y, N, 
Zwayam, 2015, Bangalore, India, Artificial Intelligence, Divya T, Info Edge, 2130961, Y, Y, 
Zwartdouglashout, 2019, Lunteren, The Netherlands, Building Material, —, —, , Y, Y, 
Zwart Reclamemakers, 2015, Apeldoorn, The Netherlands, Advertising, —, —, , Y, Y, 
Zwar Networks, 2019, —, —, Real Estate, Mohammad Abumuailek, Mohammad Abumuailek, 22000, Y, Y, 
Zwapp, 2018, Bogotá, Colombia, B2B, Alan Colmenares, Brian Requarth, 200000, Y, Y, 
Zwaplace, 2018, Kampala, Uganda, Hotel, Asimwe Magezi Sagesse, —, , Y, Y, 
Zwapgrid, 2016, Stockholm, Sweden, Information Services, Dennis Åhlin, —, EK4000000, Y, Y, 
Zwap, 2021, Alghero, Italy, Information Technology, Federico Pedron, —, 230000, Y, Y, 
zwangerenportaal.nl, 2016, Rodenrijs, The Netherlands, Health Care, —, —, , Y, Y, 
Zwamy, 2013, Los Altos Hills, United States, Art, Abe Ostrovsky, —, 387794, Y, N, 
Zwable, 2018, Gentofte, Denmark, Consulting, —, —, , Y, Y, 
ZWAAN, 2018, Biggekerke, The Netherlands, E-Commerce, —, —, , Y, Y, 
ZW Star Digital, 2017, Hefei, China, Artificial Intelligence, —, —, , Y, Y, 
ZW SPORTS, 2019, Wateringen, The Netherlands, Consumer Goods, —, —, , Y, Y, 
ZVR, 2014, Beijing, China, Hardware, Shouzhong Jin, Houde Qianhai Fund, N¥15000000, Y, Y, 
Zvoove Group, 2018, Wietmarschen, Germany, Information Services, —, —, , Y, Y, 
Zvook, 2019, Brooklyn, United States, Advertising, Anna Ratala, Antler, 100000, Y, Y, 
ZVOO, 2013, Dallas, United States, E-Commerce, Anshul Choudhry, —, , Y, Y, 
Zvonr, 2019, Richmond Hill, Canada, Apps, —, —, , Y, Y, 
Zvonobot, 2017, Moscow, Russian Federation, Telecommunications, Alexey Klabukov, Internet Initiatives Development Fund (IIDF), UB2100000, Y, Y, 
Zvolv, 2018, Pune, India, SaaS, Hardik Gandhi, JSW Ventures, 1500000, Y, Y, 
ZVISION, 2017, Beijing, China, Automotive, Bingbing Xia, Intel, 10000000, Y, Y, 
Zvilo, 2018, London, United Kingdom, Financial Services, Admir Imami, Fasanara Capital, 55794877, Y, Y, 
Zvezda Geek, 2013, —, —, Communities, —, —, , Y, Y, 
Zvesta, 2015, Gurgaon, India, Artificial Intelligence, Anushree Srivastava, Hindustan Media Venture, 5500000, Y, Y, 
ZVerse, 2013, Columbia, United States, 3D Printing, John Carrington, Mosley Ventures, 5000000, Y, Y, 15000000
Jun 14, Food and Beverage, Wholesale, —, —, —, or Profit, Y, —
Zventus, 2016, Tijuana, Mexico, Outsourcing, —, —, , Y, Y, 
zVentures, 2014, Chatsworth, United States, E-Commerce, Sam Nam, —, , Y, Y, 
zVendo, 2018, Heliopolis, Egypt, E-Commerce, Sameh Abdel Fattah, EFG EV Fintech, 1000000, Y, Y, 
Zuzzen, 2015, Heino, The Netherlands, E-Commerce, —, —, , Y, Y, 
Jan 1, Information Technology, Information Technology, —, —, —, or Profit, Y, —
Zuzumi Institute, 2015, Berlin, Germany, Apps, —, —, , Y, Y, 
Zuzume, 2013, Kansas City, United States, Mobile, —, —, , Y, Y, 
Zuzububu, 2015, Oradea, Romania, Baby, —, —, , Y, Y, 
Zuzu's Delights, 2021, —, —, Bakery, —, —, , Y, Y, 
ZUZU Hospitality, 2016, Singapore, Singapore, Hospitality, Dan Lynn, Wavemaker Partners, 6700000, Y, Y, 
Zuzu AI, 2020, Middletown, United States, Artificial Intelligence, —, —, , Y, Y, 
Zuzu, 2020, Hyderabad, India, Children, —, —, , Y, Y, 
Zuzor, 2015, La Jolla, United States, Advertising, Tammuz Dubnov, —, , Y, Y, 
ZUZO Creatives, 2015, —, —, Fashion, —, —, , Y, Y, 
ZUZLab, 2021, New York, United States, Commercial Lending, Lisanne Biolos, —, , Y, Y, 
ZUZI, 2015, Shenzhen, China, Agriculture, Jun Jiang, —, N¥5000000, Y, Y, 
Jul 2018, Food and Beverage, Food and Beverage, —, Capinno, —, or Profit, Y, —
Zuzapp, 2014, —, —, Hospitality, —, —, , Y, Y, 
Zuzan, 2020, New York, United States, Information Technology, Aleksei Romanov, Starta VC, 350000, Y, Y, 
Zuza, 2013, Scottsdale, United States, Computer, Danny Mikhail, —, 1100000, Y, Y, 
Zuya, 2014, Brazil, Trinidad and Tobago, E-Commerce, —, —, , Y, Y, 
Zuxing Lingfan, 2014, Beijing, China, 3D Technology, —, Bilibili, , Y, Y, 
Zuxian, 2014, —, —, E-Commerce, David Huer, —, , Y, N, 
Zuwome, 2015, Xiamen, China, Apps, Hanbin Su, PurpleSky Capital, N¥4000000, Y, Y, 
Zuwa Pay, 2021, —, —, Billing, Oluwaseun Ikuesan, —, , Y, Y, 
Zuwa Energy, 2016, Lilongwe, Malawi, Energy, —, United States Agency for International Development, , Y, Y, 
Zuvy Technologies, 2021, Conroe, United States, Banking, —, —, 250000, Y, Y, 
Zuvy Effect, 2013, Madrid, Spain, Sustainability, Sonsoles Navarro, —, , Y, Y, 
Zuvio, 2013, Minquan, China, Education, David Lin, Foxconn Technology Group, 2599446, Y, Y, 
Zuver, 2015, Mumbai, India, Consumer, Sidhanth Mally, Hermes Group, 180000, Y, Y, 
Zuvaa, 2014, New York, United States, E-Commerce, Kelechi Uju, —, , Y, Y, 
Zuva KK, 2017, Tokyo, Japan, Information Services, —, Waseda University, 80000000, Y, Y, 
Zuva, 2021, Toronto, Canada, Artificial Intelligence, Noah Waisberg, Insight Partners, A$20000000, Y, Y, 
Zuux Biosciences, 2017, Los Angeles, United States, Auctions, —, —, , Y, Y, 
Zuuvi, 2019, Frederiksberg, Denmark, Advertising, —, —, , Y, Y, 
Zuuse, 2013, Portland, United States, Asset Management, Geoff Tarrant, IFM Investors, $50000000, Y, N, 
Zuus, 2013, Denver, United States, Human Resources, Jake Skinner, —, 3043999, Y, Y, 
Zuunr AB, 2017, Trångsund, Sweden, Information Technology, —, —, , Y, Y, 
ZUUMTEL, 2014, Laguna Hills, United States, Automotive, —, —, 300000, Y, N, 
ZuumPay, 2017, Buea, Cameroon, Cryptocurrency, Kemdji Tsem Tsem Camilla, —, , Y, Y, 
Zuumeo, 2013, Berlin, Germany, Consulting, —, —, , Y, Y, 
Jul 17, Big Data, Staffing Agency, Ndamo Ndamo, —, —, or Profit, Y, —
Zuum Transportation, 2015, Irvine, United States, Logistics, Ali Navid, Plug and Play, 38580000, Y, Y, 
Zuul Systems, 2019, Florida, United States, Physical Security, —, —, , Y, Y, 
Zuul IoT, 2016, Columbia, United States, Cyber Security, Edward Stanford, TEDCO, 300000, Y, Y, 
Zuul, 2018, New York, United States, Building Material, Corey Manicone, Bryan Rosenblatt, 9000000, Y, Y, 
Zuuks, 2014, Istanbul, Turkey, Gaming, Gizem Genç, —, , Y, Y, 
Zuub, 2019, Santa Monica, United States, Dental, Liem Doan, —, , Y, Y, 
Zuu Online, 2013, Tokyo, Japan, Financial Services, Kazunari Tomita, Pegasus Tech Ventures, 4868536, Y, Y, 
ZUU, 2013, Tokyo, Japan, Asset Management, Kazumasa Tomita, Pegasus Tech Ventures, 515000000, Y, Y, 
Zutobi, 2018, Gävle, Sweden, Apps, David Waldenbäck, —, , Y, Y, 
Zutila, 2016, Irvine, United States, Marketing, —, —, , Y, Y, 
Zuta-Core, 2016, San Jose, United States, Data Center, Erez Freibach, DIVEdigital, , Y, Y, 
ZUtA Labs, 2014, Jerusalem, Israel, Consumer, Matan Caspi, —, 500000, Y, Y, 
Zusys Tech, 2015, Las Vegas, United States, Information Technology, —, —, , Y, Y, 
Zusterkat, 2018, Wormerveer, The Netherlands, Corporate Training, —, —, , Y, Y, 
Zust Deals.com, 2015, Vijayawada, India, E-Commerce, —, —, , Y, Y, 
Zusske, 2017, Veldhoven, The Netherlands, Children, —, —, , Y, Y, 
ZUSO Generation, 2019, Taichung, Taiwan, Consulting, IK Hung, —, , Y, Y, 
Zusjez, 2017, Wierden, The Netherlands, Children, —, —, , Y, Y, 
Zusjesdebruin, 2018, Ijmuiden, The Netherlands, Children, —, —, , Y, Y, 
Zusje-van, 2017, Wervershoof, The Netherlands, E-Commerce, —, —, , Y, Y, 
Zusenzo-living, 2014, Luttenberg, The Netherlands, E-Commerce, —, —, , Y, Y, 
Zuse Digital, 2013, Melbourne, Australia, Apps, —, —, , Y, Y, 
Dec 15, Information Technology, Software, —, —, —, or Profit, Y, —
zusa, 2015, Pyrmont, Australia, Business Intelligence, Ingrid Bruggestrass, —, 100000, Y, Y, 
Zus Health, 2020, Watertown, United States, Health Care, Jonathan Bush, Andreessen Horowitz, 34000000, Y, Y, 
Zus en Zaak, 2015, Kesteren, The Netherlands, E-Commerce, —, —, , Y, Y, 
ZUS Biotech, 2018, Rijeka, Croatia, Biotechnology, Danijel Selgrad, —, , Y, Y, 
Zus Bags & More, 2015, Kudelstaart, The Netherlands, E-Commerce, —, —, , Y, Y, 
Zuryc, 2018, Jefferson, United States, Cloud Computing, —, —, , Y, Y, 
ZuruEzu Logistics And Transport Services, 2021, Calabar, Nigeria, Logistics, Emmanuel Okoye, —, , Y, Y, 
ZuruEzu Innovations, 2021, Calabar, Nigeria, Agriculture, Emmanuel Okoye, —, , Y, Y, 
ZuruEzu Human Resources, 2021, Calabar, Nigeria, Corporate Training, Emmanuel Okoye, —, , Y, Y, 
ZuruEzu Hospitality, 2021, Calabar, Nigeria, Event Management, Emmanuel Okoye, —, , Y, Y, 
ZuruEzu Healthcare, 2021, Calabar, Nigeria, Health Care, Emmanuel Okoye, —, , Y, Y, 
ZuruEzu Finance Academy, 2021, Calabar, Nigeria, Asset Management, Emmanuel Okoye, —, , Y, Y, 
ZuruEzu Energy, 2021, Calabar, Nigeria, Energy, Emmanuel Okoye, —, , Y, Y, 
ZuruEzu Educational Services, 2021, Calabar, Nigeria, College Recruiting, Emmanuel Okoye, —, , Y, Y, 
ZuruEzu Consulting And Advisory Services, 2021, Calabar, Nigeria, Business Development, Emmanuel Okoye, —, , Y, Y, 
ZuruEzu Communications, 2021, Calabar, Nigeria, Advertising, Emmanuel Okoye, —, , Y, Y, 
ZuruEzu Agricultural Services, 2022, Calabar, Nigeria, Agriculture, Emmanuel Okoye, —, , Y, Y, 
Zuru Tech, 2017, Ahmedabad, India, Architecture, —, —, , Y, Y, 
Zuru Services, 2019, Bengaluru, India, Artificial Intelligence, —, —, , Y, Y, 
Zuru Latam, 2020, San Isidro, Peru, InsurTech, Gianmarco Scarsi, CARABELA, , Y, Y, 
Zuru Car Rental, 2018, Nairobi, Kenya, Car Sharing, George Muchira, —, 100000, Y, Y, 
Zurra, 2019, Southlake, United States, Hospitality, Todd Meagher, —, 2500000, Y, N, 
Zurp, 2013, —, —, Artificial Intelligence, —, Shane Neman, , Y, N, 
Zurna98, 2018, Tabriz, Iran, Music, Farid Honarvar, —, , Y, Y, 
Zurn, 2013, Milwaukee, United States, E-Commerce, John A. Zurn, Zhonglu Capital, , Y, Y, 
Zurly, 2013, Gainesville, United States, E-Commerce, —, —, , Y, Y, 
Zurleys Home Furnishings, 2014, Saint Helens, United Kingdom, E-Commerce, —, —, , Y, Y, 
Zurixx, 2019, Provo, United States, Education, —, —, , Y, Y, 
Zurita, 2015, Shanghai, China, Analytics, Monica Muriel, —, 400000, Y, Y, 
Zurimed Technologies, 2015, Zürich, Switzerland, Medical, Xiang Li, Venture Kick, HF130000, Y, Y, 
ZuriHq, 2019, Lagos, Nigeria, Beauty, Aaron Ejeme, Meltwater Entrepreneurial School of Technology (MEST), 100000, Y, N, 
Zuriel Consulting, 2014, Lagos, Nigeria, Consulting, —, —, , Y, Y, 
zurichnetgroup AG, 2014, Zürich, Switzerland, Information Services, —, —, , Y, Y, 
ZurichBank, 2020, Gramado, Brazil, Finance, —, —, , Y, Y, 
Zurich Soft Robotics, 2022, Zürich, Switzerland, Industrial, —, Venture Kick, HF10000, Y, Y, 
Zurich Medical, 2013, Saint Paul, United States, Biotechnology, Kin-Joe Sham, —, 1123000, Y, Y, 
Zurich Film Festival, 2016, Zürich, Switzerland, Event Management, —, —, , Y, Y, 
Zurich Clinic, 2018, Barcelona, Spain, Auto Insurance, —, —, , Y, Y, 
Zurich Biomaterials, 2013, Zürich, Switzerland, Health Care, —, —, , Y, N, 
Zuri Tours & Safaris Limited, 2014, Moshi, Tanzania, Travel, —, —, , Y, Y, 
Zuri Technologies, 2014, London, United Kingdom, Cloud Computing, —, —, , Y, Y, 
Zuri Health, 2020, Nairobi, Kenya, Health Care, Daisy Isiaho, Launch Africa, 1297154, Y, Y, 
Zuri, 2017, Prague, Czech Republic, Aerospace, Michal Illich, Kiwi.com, 2400000, Y, Y, 
ZURI, 2017, New York, United States, Advertising, Rayhan Rumman, —, 250000, Y, N, 
ZURGER, 2016, —, —, —, —, —, , Y, Y, 
Zurfrr, 2014, Kottayam, India, Drones, Shintu Cherian, —, , Y, Y, 
Zurff, 2014, Zwolle, The Netherlands, Brand Marketing, Bjorn Hascher, —, 44731, Y, Y, 
Zurfers, 2018, Miami, United States, Marketplace, —, —, , Y, Y, 
Zurface, 2013, Randers, Denmark, Building Material, —, —, , Y, Y, 
Zurf, 2013, San Francisco, United States, E-Commerce, Muna Shadfar, Signatures Capital, , Y, Y, 
Zureli, 2017, Colombo, Sri Lanka, E-Commerce, —, —, , Y, Y, 
Zureforce LLC, 2022, Dallas, United States, Cloud Computing, Keerthi Aluju, —, , Y, Y, 
Zurdox, 2020, Houston, United States, Fashion, —, —, , Y, Y, 
Zurc Capital, 2020, Sheridan, United States, Finance, —, —, , Y, Y, 
Zurboo, 2018, São Paulo, Brazil, Business Intelligence, —, —, , Y, N, 
Zuratrust, 2017, Donostia-san Sebastián, Spain, Cyber Security, Mikel Iturrioz, —, , Y, Y, 
Zuragon, 2015, Göteborg, Sweden, —, —, —, , Y, Y, 
Zuragan Digital Indonesia, 2016, Jakarta, Indonesia, Information Services, —, —, , Y, Y, 
Zupy, 2018, Guarulhos, Brazil, Business Development, —, —, , Y, Y, 
ZupWork, 2018, Santiago, Chile, Coworking, Emilio Segreste Villablanca, —, 38000, Y, N, 
Zuput, 2015, Bellevue, United States, Information Services, Mukund Mohan, —, 250000, Y, Y, 
ZuPush, 2014, New York, United States, Social Media, Bhishm Singh, —, , Y, N, 
Zupu, 2015, Ningbo, China, Big Data, Qiao Yang, —, N¥5000000, Y, Y, 
Zupr, 2014, Groningen, The Netherlands, Hardware, —, —, , Y, Y, 
ZUPPUDY, 2016, Piscataway, United States, Document Management, IDHAYAN KUMARESAN, —, , Y, N, 
ZupportDesk, 2015, Kista, Sweden, CRM, —, —, , Y, Y, 
Zuppo, 2022, —, —, —, —, —, , Y, Y, 
Zupply, 2021, Copenhagen, Denmark, Building Material, Adam Mezovari, Antler, 110000, Y, Y, 
Zupply, 2015, Alexandria, Australia, Real Time, Adrian Moschella, —, , Y, Y, 
Zuppit, 2015, Gurgaon, India, Artificial Intelligence, Adit Jain, North Base Media, , Y, N, 
Zuppin, 2018, Istanbul, Turkey, Apps, —, —, , Y, Y, 
Zupp, 2018, Orlando, United States, Education, Brent Henderson, LAUNCH, , Y, Y, 
ZUPP, 2017, Genoa, Italy, Artificial Intelligence, —, —, , Y, Y, 
Zupoh, 2020, —, —, —, —, —, , Y, N, 
Zuplr, 2016, Bengaluru, India, E-Commerce, —, —, , Y, N, 
Zuplo, 2021, —, —, Software, Josh Twist, —, , Y, Y, 
Zuplic, 2015, Jaipur, India, Advertising, Karan Gulati, —, , Y, Y, 
ZuperMeal, 2015, Andheri, India, Cooking, Prabhakar Banerjee, Sanjeev Kapoor, 2000000, Y, N, 
Zuperly, 2021, Hyderabad, India, Education, Kapil Reddy, —, , Y, Y, 
ZuperGames, 2015, —, —, Online Games, Manuel Boca, —, , Y, Y, 
Zuper Solutions, 2014, Mumbai, India, Management Consulting, —, —, , Y, Y, 
Zuper Agency, 2013, Moscow, Russian Federation, Advertising, Anna Pogosyan, —, , Y, Y, 
Zuper, 2016, Seattle, United States, Field Support, Anand Subbaraj, Prime Venture Partners, 14100000, Y, Y, 
Zuper, 2016, Sydney, Australia, Blockchain, Eran Thomson, —, , Y, Y, 
Zuper, 2016, Munich, Germany, Artificial Intelligence, Leitha Matz, —, , Y, Y, 
Zuper, 2014, Vienna, Austria, E-Commerce, David Savasci, —, , Y, Y, 
Zuper, 2015, Mapo, South Korea, Courier Service, —, —, , Y, N, 
Zupee, 2018, Gurgaon, India, Apps, Dilsher Singh, WestCap, 120999708, Y, Y, 
Zupe Technology, 2015, Mohali, India, Apps, —, —, , Y, Y, 
Zupdu Inc., 2015, Irvine, United States, Real Estate, —, —, , Y, Y, 
ZuPay, 2021, —, —, FinTech, Anubhav Mishra, —, , Y, Y, 
ZUP ticket, 2013, Jyväskylä, Finland, Software, —, —, , Y, Y, 
Zup, 2016, Hyderabad, India, FinTech, Koushik N., —, 75000, Y, N, 
Apr 1, Military, Video, Liu Weiyang, Weibo, $3, or Profit, Y, —
Zuoyebang, 2014, Beijing, China, Apps, Hou Jianbin, Alibaba Group, 2935000000, Y, Y, 
Zuoxiuyu, 2015, Shanghai, China, —, —, —, , Y, N, 
Zuowenzhitiao, 2017, Guangzhou, China, Apps, —, GGV Capital, 5000000, Y, Y, 
Zuotoujing, 2015, Beijing, China, Travel, —, Bowei Zhihong Touzi, , Y, Y, 
Zuolinyouli, 2015, Hefei, China, Internet, Zhi Chen, Zhulu Capital, N¥3000000, Y, Y, 
Zuolin, 2013, Shenzhen, China, Information Technology, —, China Resources, , Y, Y, 
Zuok.cn, 2014, Hangzhou, China, Internet, —, Willsun Capital, N¥10000000, Y, Y, 
Zuojiabang.cn, 2012, Minhang, China, Digital Media, Huaiyao Wu, Great Culture Capital Management, N¥43000000, Y, Y, 
Zuoix, 2017, Limbe, Cameroon, Cyber Security, —, —, , Y, Y, 
Zuodashi, 2018, Putuo, China, Business Development, Zhenkai Dai, Huagai Capital, 17467174, Y, Y, 
Zunum Aero, 2013, Bothell, United States, Air Transportation, Ashish Kumar, JetBlue Ventures, 800000, Y, Y, 
Zuntik, 2014, Madison, United States, App Discovery, —, Madworks Seed Accelerator, , Y, Y, 
Zunta Technologies, 2018, Katy, United States, Cloud Data Services, —, —, , Y, Y, 
ZunRoof, 2016, Gurgaon, India, Clean Energy, Kartik Marwah, Ramakant Sharma, 4669234, Y, Y, 
Zunopy, 2014, Bangalore, India, E-Learning, Fatema Patherya, —, , Y, Y, 
Zuno Carbon, 2020, Singapore, Singapore, Information Technology, Hari Nair, Seeds Capital, , Y, Y, 
Zunket Store, 2020, —, —, E-Commerce, Shishir Shrivastav, —, , Y, Y, 
Zunit, 2019, Monterrey, Mexico, Cloud Data Services, —, —, , Y, Y, 
Zunik Energies, 2017, Roorkee, India, Energy, Poojitha Rajana, —, , Y, Y, 
Zunify, 2019, Escazú, Costa Rica, Banking, Juan Monge, Loyal VC, 1000000, Y, Y, 
Zuni.vn, 2013, Ho Chi Minh City, Vietnam, Education, —, —, , Non-profit, Y, 
Zuni Learning Tree, 2016, Conway, United States, E-Learning, —, —, , Y, Y, 
Zuni, 2017, —, —, —, —, —, , Y, Y, 
Zungle, 2016, Los Angeles, United States, Fashion, Chris Hong, —, 6297035, Y, Y, 
Zunest, 2015, Shanghai, China, B2B, —, —, , Y, N, 
Zunder, 2018, Palencia, Spain, Electric Vehicle, —, Mirova, 100000000, Y, Y, 
zunder, 2016, Frauenfeld, Switzerland, Advertising, —, —, , Y, Y, 
Zundapp-Tuningcenter.nl, 2016, Reeuwijk, The Netherlands, Automotive, —, —, , Y, Y, 
Zunayed Eman, 2018, Comilla, Bangladesh, Music, —, —, , Non-profit, Y, 
Zunati, 2014, San Jose, United States, Fashion, —, —, , Y, N, 
Zuna Ventures, 2016, Norwalk, United States, Information Technology, —, —, , Y, Y, 
Zuna, 2018, Porto Alegre, Brazil, Education, Cristiano Mendes, WOW Aceleradora, $150000, Y, Y, 
Zun Pai Communication, 2021, Nanjing, China, Semiconductor, —, Gaorong Capital, , Y, Y, 
ZUN International, 2016, Lagos, Nigeria, Commercial Real Estate, —, —, , Y, Y, 
Jan 2021, Developer Tools, Software, Arturs Valenieks, Flat6Labs, $150, or Profit, Y, —
ZumVet, 2019, Singapore, Singapore, Apps, Athena Lee, Quest Ventures, 3700000, Y, Y, 
Zumutor Biologics, 2015, Woburn, United States, Biotechnology, Kavitha Iyer Rodrigues, Accel, 47754287, Y, Y, 
Zumrod Inc., 2017, Jeddah, Saudi Arabia, Beauty, Ahmad Al Refae, —, 250000, Y, N, 
Zumrafood, 2018, Cairo, Egypt, E-Commerce, Mohamed Elbialy, —, 500000, Y, Y, 
Zumpsites, 2013, Rio De Janeiro, Brazil, E-Commerce, —, —, 2000, Y, Y, 
Zump, 2019, Bristol, United Kingdom, Real Estate, —, Crowdcube, 239932, Y, Y, 
Zump, 2017, Canberra, Australia, Event Management, —, —, , Y, Y, 
Zumosun Soft, 2015, Jaipur, India, Information Technology, Devendra Choudhary, —, , Y, Y, 
Zumoko, 2015, Novi Sad, Serbia, Augmented Reality, —, —, , Y, Y, 
zumocharge, 2020, London, United Kingdom, Apps, Jose Paris, —, , Y, Y, 
Zumo Marketing, 2017, Madrid, Spain, Advertising, —, —, , Y, Y, 
Zumo Labs, 2019, San Francisco, United States, Artificial Intelligence, Elena Ponte, Y Combinator, 150000, Y, Y, 
Zumo, 2017, Edinburgh, United Kingdom, Financial Services, Nick Jones, Block.one, 4202197, Y, Y, 
Zummy AB, 2015, Stockholm, Sweden, Advertising, —, —, , Y, Y, 
Zummit Plastics, 2016, Phoenix, United States, Industrial Manufacturing, —, —, , Y, Y, 
Zummit Labs, 2015, —, —, E-Commerce, Gary Rempe, —, , Y, Y, 
Zummit, 2017, Koudekerk Aan Den Rijn, The Netherlands, Business Information Systems, Linda Zwerus, —, , Y, Y, 
Zumminer, 2016, Hong Kong, Hong Kong, Bitcoin, —, —, , Y, Y, 
Zummbee, 2017, Campo Grande, Brazil, B2B, —, —, , Y, Y, 
Zumma, 2022, Mexico City, Mexico, Financial Services, Daniela Lacurain, —, , Y, Y, 
ZumiOS, 2013, Chicago, United States, Advertising, Rob Cardenas, —, , Y, N, 
Zumint, 2015, Provo, United States, E-Commerce, David Niccum, —, , Y, N, 
Zumin, 2015, Mississauga, Canada, Construction, —, —, , Y, Y, 
Zumidian, 2015, Miami, United States, Consulting, —, —, , Y, Y, 
Zumic Entertainment, 2012, Brooklyn, United States, Digital Media, —, —, , Y, Y, 
Zumi Networks, 2013, Kirkland, United States, Advertising, Jason Lemelson, Spektra Capital, 500000, Y, N, 
ZUMI, 2016, Nairobi, Kenya, B2B, Mohamed Nuur, Seedstars, 620000, Y, Y, 
Zumget Group, 2015, New York, United States, Big Data, Daniel Ramudo, —, 150000, Y, Y, 
